names,scores,logfoldchanges,pvals,pvals_adj
Dmel_CG11768,15.732377,1.7266488,9.073975832038097e-56,3.517437062206862e-54
Dmel_CR45102,15.726975,1.2867087,9.882066486505193e-56,3.8194186970342567e-54
Dmel_CG13375,15.15839,1.0632966,6.668362466609252e-52,2.374768324490845e-50
Dmel_CG17828,15.096719,1.1421167,1.701945235163938e-51,5.980016667189655e-50
Dmel_CG34186,15.021934,1.298784,5.2746547539373215e-51,1.8192713417714e-49
Dmel_CG11985,14.76865,1.4241879,2.3334077345906313e-49,7.74326036370088e-48
Dmel_CG40472,14.14541,3.248163,1.9935153852373178e-45,6.106476847879625e-44
Dmel_CG17515,14.128664,1.2223642,2.5289816113955495e-45,7.728685431476492e-44
Dmel_CG5830,13.909168,1.1885811,5.572401694114786e-44,1.656717888288742e-42
Dmel_CG5934,13.632813,1.249336,2.555368750834447e-42,7.26842007677824e-41
Dmel_CG12530,13.534126,1.3053939,9.834433503170864e-42,2.7614164672044512e-40
Dmel_CG1275,13.132907,1.64012,2.1330739884299125e-39,5.708905352740831e-38
Dmel_CG11984,12.72011,1.1084129,4.572177515891281e-37,1.1621467066987876e-35
Dmel_CG32085,12.635226,1.3485867,1.3500510870449657e-36,3.405186436632993e-35
Dmel_CG17724,12.615574,2.2217734,1.732909309095191e-36,4.345832295957997e-35
Dmel_CG7057,12.395515,1.1069009,2.763631781029937e-35,6.775538290021344e-34
Dmel_CG3606,12.349075,1.7468905,4.927431690549592e-35,1.1990996267687442e-33
Dmel_CG13388,12.291804,1.0213301,1.0024383382802454e-34,2.412645092186942e-33
Dmel_CG2991,11.700122,1.115321,1.2727019029875344e-31,2.888527755986043e-30
Dmel_CG32699,11.615535,1.0087663,3.4363246052845226e-31,7.70592860717473e-30
Dmel_CG3201,11.562474,1.0107144,6.384208441284697e-31,1.4219471716427494e-29
Dmel_CG7212,11.196172,1.0445702,4.2573642552856607e-29,8.937064485416753e-28
Dmel_CG7266,11.119328,1.2526717,1.0103092453359751e-28,2.0973892247962164e-27
Dmel_CG1832,11.034253,1.0783541,2.6121383520223833e-28,5.36345470061346e-27
Dmel_CG3711,10.987609,1.0392992,4.383852663476257e-28,8.945373889866692e-27
Dmel_CG15667,10.91446,1.1788609,9.831158543531058e-28,1.978426560804619e-26
Dmel_CR45333,10.901073,3.2530475,1.139060475155696e-27,2.2817673329300306e-26
Dmel_CG3450,10.817904,1.9355943,2.8317658402985595e-27,5.612705114232786e-26
Dmel_CG33979,10.750539,1.264204,5.891653159439068e-27,1.1607528361047796e-25
Dmel_CG13404,10.718897,1.4738874,8.29869218021319e-27,1.6179987231480939e-25
Dmel_CG2765,10.618973,1.1465136,2.4322209206148855e-26,4.700266929088266e-25
Dmel_CG13603,10.529539,1.3271079,6.314280216905694e-26,1.2025500917443148e-24
Dmel_CG7582,10.524401,1.0782062,6.668419290943486e-26,1.268157712044694e-24
Dmel_CG11857,10.310141,1.2036407,6.340837284854624e-25,1.1556857525696895e-23
Dmel_CG3911,10.237304,1.2839156,1.3494498736430435e-24,2.4392188156180517e-23
Dmel_CG6869,10.110144,1.1495438,4.981125738237795e-24,8.88154319215507e-23
Dmel_CG2448,9.870596,1.7454964,5.58321494601691e-23,9.51608658957305e-22
Dmel_CG5412,9.820036,1.445531,9.231032906032011e-23,1.5632088069351374e-21
Dmel_CG13999,9.72046,1.0216718,2.466644049987998e-22,4.1082597542322284e-21
Dmel_CG32549,9.659866,1.0338299,4.464465277487173e-22,7.361046199681172e-21
Dmel_CG10997,9.365125,1.009835,7.596078475177834e-21,1.1983201349617278e-19
Dmel_CG4005,8.802456,1.4908302,1.3385407686984528e-18,1.9414750818395548e-17
Dmel_CG6025,8.737542,1.105013,2.38237516485013e-18,3.3881809568501684e-17
Dmel_CG6276,8.682997,1.3113539,3.854743086175425e-18,5.4526565011228484e-17
Dmel_CG4710,8.590342,1.237823,8.671087346402248e-18,1.2032392694727766e-16
Dmel_CG15456,8.38261,1.4297467,5.176643468449802e-17,6.984216819188793e-16
Dmel_CG4617,8.106764,1.0106143,5.198592589831585e-16,6.6713579319313334e-15
Dmel_CG4236,8.05073,1.175764,8.230159408101758e-16,1.0490060599598952e-14
Dmel_CG34220,7.9089713,3.3236427,2.5952396146727087e-15,3.232610784494224e-14
Dmel_CR45859,7.8309402,1.1393591,4.8423395270334134e-15,5.952589684260626e-14
Dmel_CG4050,7.4994535,1.0373782,6.408437676891036e-14,7.485624845513342e-13
Dmel_CG43369,7.3923078,1.1336321,1.4430213009926615e-13,1.6648589039810856e-12
Dmel_CG7088,7.3118515,1.0142465,2.634860802323067e-13,3.0056168232055056e-12
Dmel_CG32226,7.2800364,1.1807295,3.337304122056598e-13,3.770895397071862e-12
Dmel_CG7949,7.2518306,1.7701274,4.111766218850609e-13,4.610300331221489e-12
Dmel_CG7607,7.174527,1.6954253,7.255748495395661e-13,7.998975753187448e-12
Dmel_CG4593,6.97335,1.5458305,3.0948082669705005e-12,3.2956949300048094e-11
Dmel_CG18624,6.8519745,3.3397539,7.2837550404187e-12,7.58445522869589e-11
Dmel_CG46146,6.6114755,1.1300892,3.8050840403011966e-11,3.8257543514612106e-10
Dmel_CG10447,6.54681,1.2746445,5.877894982152635e-11,5.860502121431546e-10
Dmel_CG11129,6.5074286,3.472744,7.644802016637772e-11,7.542067815363136e-10
Dmel_CG10433,6.4691076,1.016269,9.858321578626229e-11,9.660567029435293e-10
Dmel_CG11710,6.4391046,1.0097357,1.2018021062530085e-10,1.1646667756836862e-09
Dmel_CR42491,6.3729763,3.4686105,1.8539469442478462e-10,1.7783004959387553e-09
Dmel_CG7199,6.2910247,1.422236,3.153767930233573e-10,2.9988179718668148e-09
Dmel_CG30173,6.2125463,1.3944693,5.213282596006992e-10,4.907431704450422e-09
Dmel_CG9804,6.2093997,1.2235794,5.318732633566682e-10,5.003111348439497e-09
Dmel_CG6083,6.190764,1.7030272,5.987328052585358e-10,5.611945644723551e-09
Dmel_CR45668,6.1292906,1.9970833,8.82718101858631e-10,8.215154799238151e-09
Dmel_CG14645,6.128883,2.5418565,8.849831461739883e-10,8.230405890921713e-09
Dmel_CG14701,6.0494246,2.681023,1.4536385892589205e-09,1.3311682718781515e-08
Dmel_CG3039,6.0282626,1.1396605,1.6573181321955728e-09,1.5113683258280377e-08
Dmel_CG44835,6.024671,1.3392577,1.6945378919541784e-09,1.5420998918400177e-08
Dmel_CG31155,5.972963,1.6923745,2.32983142261063e-09,2.094139174044206e-08
Dmel_CG1463,5.9666195,1.0753822,2.422195598483689e-09,2.172701184960693e-08
Dmel_CG3977,5.9030194,1.0434759,3.5690851627135305e-09,3.1604682023732145e-08
Dmel_CG2985,5.605497,6.1942434,2.0765809145117107e-08,1.749253192153743e-07
Dmel_CG6618,5.5681987,1.3267386,2.5738606185279428e-08,2.1584621817533948e-07
Dmel_CG6665,5.35955,1.1531689,8.342944034727127e-08,6.72605077057357e-07
Dmel_CG31687,5.34866,2.4649024,8.860773202740522e-08,7.108633739756606e-07
Dmel_CG33941,5.173789,1.4847547,2.293935715173474e-07,1.7773944123286924e-06
Dmel_CG4676,5.031738,2.0010064,4.860532957525904e-07,3.668711292064785e-06
Dmel_CG18324,4.8646903,1.5997262,1.1463626163265524e-06,8.383055726848762e-06
Dmel_CR43425,4.8009276,1.1782104,1.5793245106235772e-06,1.1440961077235077e-05
Dmel_CG6708,4.7832103,1.0227437,1.7251744419394834e-06,1.2415398325042032e-05
Dmel_CG1193,4.6453023,1.5205585,3.3957914667592104e-06,2.3901497410113973e-05
Dmel_CG42855,4.4968414,1.3283694,6.897038124358998e-06,4.7502084901573165e-05
Dmel_CG12787,4.478448,1.0782909,7.518763712228203e-06,5.1594816680099646e-05
Dmel_CR44029,4.4782686,1.0787026,7.525089518685692e-06,5.161127419887718e-05
