names,scores,logfoldchanges,pvals,pvals_adj
Dmel_CG17322,-0.060442097,-0.33738884,0.9518035303880389,1.0
Dmel_CG1271,-0.060481872,-0.15650585,0.9517718533299787,1.0
Dmel_CG7137,-0.060882702,-0.14205883,0.9514526266572877,1.0
Dmel_CG6816,-0.061044887,-0.82049257,0.9513234620063737,1.0
Dmel_CG7236,-0.06105647,-0.9083137,0.9513142360087734,1.0
Dmel_CG8594,-0.06123719,-0.11663809,0.9511703112919327,1.0
Dmel_CG12212,-0.06129357,-0.17404978,0.9511254120265149,1.0
Dmel_CG8094,-0.061670456,-0.6299644,0.9508252675048334,1.0
Dmel_CG4118,-0.06169131,-0.7805798,0.9508086613513749,1.0
Dmel_CG7924,-0.061806384,-0.25544977,0.9507170203704163,1.0
Dmel_CG17988,-0.061929952,-2.0137835,0.9506186146736735,1.0
Dmel_CG6403,-0.061934587,-2.2298615,0.9506149244746857,1.0
Dmel_CG31447,-0.061935358,-2.656913,0.950614309441624,1.0
Dmel_CG13116,-0.06228753,-0.48409906,0.9503338574366242,1.0
Dmel_CR45954,-0.06235009,-0.8146074,0.9502840409466077,1.0
Dmel_CG13550,-0.062369395,-0.08439322,0.9502686655259572,1.0
Dmel_CG42366,-0.06257521,-1.3321129,0.9501047646936484,1.0
Dmel_CG3360,-0.06258912,-2.5300956,0.950093694544602,1.0
Dmel_CG10363,-0.06263893,-0.4385337,0.9500540265896302,1.0
Dmel_CG2980,-0.06288877,-0.123326056,0.9498550736768985,1.0
Dmel_CG12923,-0.062976435,-0.62193024,0.9497852717722289,1.0
Dmel_CG6348,-0.06300578,-0.81722,0.9497619020576207,1.0
Dmel_CG32855,-0.06366379,-0.8662589,0.9492379398399369,1.0
Dmel_CG11639,-0.0638642,-1.0565174,0.9490783571062815,1.0
Dmel_CG10387,-0.06400206,-0.28170642,0.9489685875094921,1.0
Dmel_CR45181,-0.06412177,-0.5436437,0.9488732701577921,1.0
Dmel_CG13888,-0.06423761,-0.8111365,0.9487810282559798,1.0
Dmel_CG5968,-0.064245336,-0.1827858,0.9487748788202519,1.0
Dmel_CG8262,-0.064270824,-0.21105206,0.9487545857039998,1.0
Dmel_CG34180,-0.0648126,-0.65210366,0.9483232111326243,1.0
Dmel_CR43818,-0.064928055,-0.6097802,0.9482312808006378,1.0
Dmel_CR45416,-0.06516361,-0.3558038,0.9480437327635172,1.0
Dmel_CG42818,-0.06518022,-1.7668473,0.9480305122726749,1.0
Dmel_CR43363,-0.06518871,-1.8060986,0.9480237483061489,1.0
Dmel_CG5105,-0.0654486,-0.17590742,0.9478168342333897,1.0
Dmel_CG9676,-0.06556985,-0.5516845,0.9477202960326755,1.0
Dmel_CG15701,-0.0657274,-0.25540045,0.9475948590078279,1.0
Dmel_CG7496,-0.06580695,-0.92086345,0.9475315261013213,1.0
Dmel_CG43657,-0.06581776,-1.152162,0.9475229177706822,1.0
Dmel_CG2045,-0.065845564,-1.8417302,0.9475007820914567,1.0
Dmel_CG31842,-0.06597492,-0.1458501,0.9473977902282477,1.0
Dmel_CG13263,-0.066210866,-0.24076442,0.9472099476320993,1.0
Dmel_CG16783,-0.0664468,-0.8134554,0.9470221079703728,1.0
Dmel_CG3481,-0.066448346,-0.8655172,0.9470208782605108,1.0
Dmel_CG31199,-0.066459164,-1.026553,0.9470122702950117,1.0
Dmel_CG12688,-0.06646534,-1.0902631,0.9470073514603606,1.0
Dmel_CG9358,-0.066996306,-0.8815298,0.9465846466729946,1.0
Dmel_CG32473,-0.06701793,-0.107203305,0.946567431377699,1.0
Dmel_CG13597,-0.067087434,-0.68316084,0.9465120966689828,1.0
Dmel_CG7461,-0.0671554,-0.11143928,0.9464579918699519,1.0
Dmel_CG2794,-0.067327626,-0.17348681,0.946320886496916,1.0
Dmel_CG34409,-0.06746973,-0.26066014,0.9462077603904809,1.0
Dmel_CG5733,-0.06760604,-0.21972284,0.9460992464216946,1.0
Dmel_CG4314,-0.067764364,-1.0121168,0.945973211622694,1.0
Dmel_CR44353,-0.06789836,-0.33499622,0.9458665442028235,1.0
Dmel_CG5597,-0.068042785,-0.54028976,0.9457515780992566,1.0
Dmel_CG14947,-0.0681594,-0.53375185,0.9456587453319423,1.0
Dmel_CG2254,-0.068341665,-0.26193106,0.9455136571871854,1.0
Dmel_CG10562,-0.068805054,-0.17795092,0.9451447971717301,1.0
Dmel_CG4928,-0.06903558,-0.66248906,0.944961293689863,1.0
Dmel_CG8498,-0.069261104,-0.07067196,0.9447817889218921,1.0
Dmel_CG11674,-0.06930397,-19.537498,0.9447476710379474,1.0
Dmel_CG15247,-0.06930397,-19.80389,0.9447476710379474,1.0
Dmel_CG4318,-0.06930397,-19.409437,0.9447476710379474,1.0
Dmel_CG14367,-0.06940359,-0.24609509,0.9446683704020625,1.0
Dmel_CG17834,-0.06966,-0.5467375,0.9444642813664815,1.0
Dmel_CG1621,-0.06972101,-0.97677046,0.9444157185480275,1.0
Dmel_CG5162,-0.06994961,-3.1251082,0.944233763497157,1.0
Dmel_CG1303,-0.07014655,-0.17697588,0.9440770140122945,1.0
Dmel_CG8781,-0.070276685,-0.14604375,0.9439734375993222,1.0
Dmel_CG33133,-0.07034967,-0.14202671,0.9439153491649824,1.0
Dmel_CG17525,-0.07055125,-0.36398122,0.9437549159918954,1.0
Dmel_CG42601,-0.07059372,-2.2787135,0.9437211085259462,1.0
Dmel_CG13843,-0.07059681,-2.5971358,0.9437186498051036,1.0
Dmel_CG4402,-0.07059758,-2.56318,0.9437180351249768,1.0
Dmel_CG7968,-0.070599124,-2.7432761,0.9437168057648235,1.0
Dmel_CG12909,-0.07105479,-0.21402393,0.9433541503851918,1.0
Dmel_CR43654,-0.07108877,-0.386494,0.9433271053687968,1.0
Dmel_CR43864,-0.07124787,-2.293822,0.9432004863887868,1.0
Dmel_CG17928,-0.07136758,-0.41182745,0.9431052157722244,1.0
Dmel_CG16988,-0.07160699,-0.3132098,0.9429146769822142,1.0
Dmel_CG34148,-0.07168268,-0.16110086,0.9428544428179548,1.0
Dmel_CG1299,-0.07189892,-2.2259448,0.9426823470076546,1.0
Dmel_CG5933,-0.07229743,-0.1539657,0.9423652060292687,1.0
Dmel_CG43675,-0.07230902,-0.7834524,0.9423559869512059,1.0
Dmel_CG43092,-0.07253299,-1.4147025,0.9421777529613895,1.0
Dmel_CG18522,-0.07283496,-0.24850152,0.9419374489603869,1.0
Dmel_CG17632,-0.07284964,-0.6884594,0.9419257719183451,1.0
